Time,Timestamp(ns since boot),CPU0 Temp,CPU1 Temp,CPU2 Temp,CPU3 Temp,GPU Temp,PopMem Temp,CPU0 Freq,CPU1 Freq,CPU2 Freq,CPU3 Freq,CPU %user,CPU %system,CPU %irqs,CPU %steal,CPU %idle,MemTotal kB,MemFree kB,MemSnapcam kB
01-01 00:02:22,139325723175,46,52,44,44,41,40,2649600,2649600,2649600,2649600,20.66,16.74,0.21,0.00,62.40,1971144,1477804,39072
01-01 00:02:24,140458836976,46,52,43,46,41,40,2649600,2649600,2649600,2649600,17.61,13.54,0.23,0.00,68.62,1971144,1477656,39092
01-01 00:02:25,141588416351,50,45,44,44,41,40,2649600,2649600,2649600,2649600,13.93,16.18,0.22,0.00,69.66,1971144,1477212,39080
01-01 00:02:26,142717889892,50,45,44,45,41,40,2649600,2649600,2649600,2649600,14.98,17.40,0.00,0.00,67.62,1971144,1477708,39064
01-01 00:02:27,143847185569,45,44,45,52,41,40,2649600,2649600,2649600,2649600,15.40,15.17,0.00,0.00,69.43,1971144,1477600,39104
01-01 00:02:28,144983864058,45,45,51,45,41,40,2649600,2649600,2649600,2649600,15.11,15.56,0.44,0.00,68.89,1971144,1478160,39024
01-01 00:02:29,146121552078,46,44,52,47,42,40,2649600,2649600,2649600,2649600,18.45,17.61,0.21,0.00,63.73,1971144,1477684,39064
01-01 00:02:30,147252247703,51,47,44,44,42,41,2649600,2649600,2649600,2649600,15.79,14.65,0.23,0.00,69.34,1971144,1478300,39144
01-01 00:02:31,148381865202,51,46,44,45,42,41,2649600,2649600,2649600,2649600,17.56,13.11,0.00,0.00,69.33,1971144,1478048,38892
01-01 00:02:33,149518538587,46,46,52,48,42,41,2649600,2649600,2649600,2649600,19.52,14.25,0.00,0.00,66.23,1971144,1478104,38936
01-01 00:02:34,150655458431,46,51,45,46,42,41,2649600,2649600,2649600,2649600,20.58,10.96,0.00,0.00,68.46,1971144,1477640,39292
01-01 00:02:35,151803032909,47,53,44,45,42,41,2649600,2649600,2649600,2649600,17.95,12.27,0.23,0.00,69.55,1971144,1477756,38960
01-01 00:02:36,152941812388,51,47,45,45,42,41,2649600,2649600,2649600,2649600,15.48,18.92,0.00,0.00,65.59,1971144,1477932,38836
01-01 00:02:37,154079359940,47,47,52,47,42,41,2649600,2649600,2649600,2649600,20.74,12.66,0.00,0.00,66.59,1971144,1478160,38932
01-01 00:02:38,155214405356,51,49,44,44,42,41,2649600,2649600,2649600,2649600,16.07,15.18,0.22,0.00,68.53,1971144,1477956,38848
01-01 00:02:39,156347053168,52,47,45,45,42,41,2649600,2649600,2649600,2649600,17.86,14.06,0.00,0.00,68.08,1971144,1477976,38988
01-01 00:02:41,157476399314,51,46,46,46,42,41,2649600,2649600,2649600,2649600,16.05,16.27,0.43,0.00,67.25,1971144,1478404,39224
01-01 00:02:42,158608928636,52,47,45,45,42,41,2649600,2649600,2649600,2649600,14.92,15.81,0.00,0.00,69.27,1971144,1478680,38844
01-01 00:02:43,159735276865,46,45,51,48,42,41,2649600,2649600,2649600,2649600,16.23,16.89,0.66,0.00,66.23,1971144,1478236,38884
01-01 00:02:44,160866243219,47,53,44,45,42,41,2649600,2649600,2649600,2649600,18.32,16.21,0.63,0.00,64.84,1971144,1477992,38952
01-01 00:02:45,162000232749,46,46,46,53,42,41,2649600,2649600,2649600,2649600,18.18,13.64,0.00,0.00,68.18,1971144,1477860,38996
01-01 00:02:46,163134804259,48,48,53,48,43,41,2649600,2649600,2649600,2649600,18.65,13.71,0.00,0.00,67.64,1971144,1477328,38788
01-01 00:02:47,164267626030,47,46,46,53,42,41,2649600,2649600,2649600,2649600,16.38,16.38,0.44,0.00,66.81,1971144,1478108,39052
01-01 00:02:48,165398186915,47,47,46,53,42,41,2649600,2649600,2649600,2649600,17.46,14.29,0.00,0.00,68.25,1971144,1478124,38972
01-01 00:02:50,166531884675,46,47,46,54,42,41,2649600,2649600,2649600,2649600,17.46,14.29,0.00,0.00,68.25,1971144,1478052,38964
01-01 00:02:51,167667421237,46,47,46,54,42,41,2649600,2649600,2649600,2649600,16.81,17.89,0.65,0.00,64.66,1971144,1477928,39272
01-01 00:02:52,168810325247,48,47,47,54,42,41,2649600,2649600,2649600,2649600,18.46,14.51,0.44,0.00,66.59,1971144,1477968,39036
01-01 00:02:53,169944287486,47,48,48,54,42,42,2649600,2649600,2649600,2649600,16.14,15.45,0.00,0.00,68.41,1971144,1478092,39356
01-01 00:02:54,171075621860,53,48,45,46,43,42,2649600,2649600,2649600,2649600,17.32,16.88,0.00,0.00,65.80,1971144,1478424,38944
01-01 00:02:55,172207984933,53,48,46,46,43,42,2649600,2649600,2649600,2649600,18.26,13.14,0.22,0.00,68.37,1971144,1478116,38892
01-01 00:02:56,173345677693,47,48,53,48,43,42,2649600,2649600,2649600,2649600,17.69,12.70,0.00,0.00,69.61,1971144,1477848,39004
01-01 00:02:58,174481473526,47,48,50,53,43,42,2649600,2649600,2649600,2649600,14.57,16.59,0.22,0.00,68.61,1971144,1478372,39140
01-01 00:02:59,175616724255,47,47,47,54,43,42,2649600,2649600,2649600,2649600,17.94,20.00,0.00,0.00,62.06,1971144,1477532,38944
01-01 00:03:00,176751121077,51,54,47,49,43,42,2649600,2649600,2649600,2649600,17.75,15.96,0.22,0.00,66.07,1971144,1477248,39108
01-01 00:03:01,177883503733,47,48,46,54,43,42,2649600,2649600,2649600,2649600,16.81,14.82,0.00,0.00,68.36,1971144,1477736,38856
01-01 00:03:02,179017359305,53,48,46,47,43,42,2649600,2649600,2649600,2649600,17.11,16.45,0.22,0.00,66.23,1971144,1477824,38704
01-01 00:03:03,180148700919,48,53,48,47,43,42,2649600,2649600,2649600,2649600,18.92,12.39,0.00,0.00,68.69,1971144,1477344,38860
01-01 00:03:04,181286382377,47,47,47,54,43,42,2649600,2649600,2649600,2649600,16.14,15.25,0.00,0.00,68.61,1971144,1478116,38984
01-01 00:03:05,182425357273,46,47,47,55,43,42,2649600,2649600,2649600,2649600,18.35,18.76,1.03,0.00,61.86,1971144,1477812,39100
01-01 00:03:07,183579417793,47,48,47,55,43,42,2649600,2649600,2649600,2649600,16.85,15.75,0.22,0.00,67.18,1971144,1478044,38760
01-01 00:03:08,184711385605,53,48,47,49,44,43,2649600,2649600,2649600,2649600,17.27,13.41,0.23,0.00,69.09,1971144,1477888,39100
01-01 00:03:09,185844625605,47,48,54,48,44,43,2649600,2649600,2649600,2649600,18.16,14.57,0.00,0.00,67.26,1971144,1478068,39052
01-01 00:03:10,186986207219,50,54,46,47,44,43,2649600,2649600,2649600,2649600,16.34,14.79,0.00,0.00,68.87,1971144,1477828,38996
01-01 00:03:11,188119136802,49,54,48,48,44,43,2649600,2649600,2649600,2649600,17.39,12.59,0.23,0.00,69.79,1971144,1477600,38908
01-01 00:03:12,189247316854,53,48,47,47,44,43,2649600,2649600,2649600,2649600,15.16,18.46,0.44,0.00,65.93,1971144,1477900,38896
01-01 00:03:13,190380346072,53,48,48,47,44,43,2649600,2649600,2649600,2649600,18.82,16.07,0.21,0.00,64.90,1971144,1477192,38748
01-01 00:03:15,191515162530,48,48,54,48,44,43,2649600,2649600,2649600,2649600,16.33,14.29,0.00,0.00,69.39,1971144,1477924,38816
01-01 00:03:16,192646222998,52,54,47,47,44,43,2649600,2649600,2649600,2649600,15.30,16.63,0.00,0.00,68.07,1971144,1477704,38924
